Winning Numbers
"7, 10, 11, 26, 27, 34"
"4, 5, 11, 38, 51, 68"
"4, 5, 12, 20, 24, 29"
"6, 9, 14, 17, 18, 53"
"16, 27, 35, 41, 56, 60"
"5, 8, 19, 26, 34, 39"
"3, 9, 10, 20, 25, 62"
"3, 8, 18, 41, 56, 64"
"1, 20, 24, 27, 31, 62"
"1, 5, 25, 26, 40, 60"
"2, 12, 21, 37, 56, 65"
"9, 18, 19, 27, 28, 45"
"3, 28, 35, 41, 47, 60"
"4, 6, 47, 50, 61, 68"
"2, 12, 21, 38, 61, 66"
"9, 27, 33, 63, 66, 68"
"20, 21, 24, 33, 39, 42"
"13, 19, 26, 30, 39, 63"
"20, 34, 50, 51, 61, 67"
"3, 4, 6, 51, 53, 60"
"21, 24, 33, 35, 37, 42"
"1, 7, 12, 14, 24, 57"
"14, 20, 21, 33, 39, 62"
"12, 25, 26, 40, 59, 61"
"1, 6, 28, 30, 34, 52"
"12, 22, 26, 39, 47, 63"
"5, 19, 22, 34, 66, 69"
"2, 14, 24, 50, 59, 64"
"2, 25, 27, 41, 53, 68"
"18, 21, 21, 25, 46, 64"
